,PropertyName,ShortDesc,StationMiles,Description,AddedOrReduced,Agent,ContactNumber,PropertyValue
23,"Saffron Tower, Saffron Square, Croydon, CR0",3 bedroom apartment for sale,4.99 miles from station,"This stunning three bedroomed apartment features high specification, contemporary fittings arranged on the thirty eighth floor of the impressive centrepiece forty three storey Saffron Tower. The tower further benefits from a luxurious five-star entrance lobby with 24 hour concierge, state of the ...",Added on 25/07/2019,"Added on 25/07/2019 by 1st Avenue, Surrey",020 8012 5126,"£825,000"
24,Westerham Road Keston BR2,3 bedroom flat for sale,2.78 miles from station,"Outstanding three bedroom, two bathroom penthouse apartment. Situated on the top floor of a stunning development in leafy Keston, this apartment offers 1,628 sqft of luxurious well-appointed living space. Energy Efficiency Rating B.",Reduced on 12/11/2020,"Reduced on 12/11/2020 by Unique, Langford Russell Locksbottom",01689 499734,"£800,000"
0,"Halesworth Road, Lewisham, SE13",2 bedroom apartment for sale,4.80 miles from station,"*** Guide Price £475,000 - £500,000 *** Share of Freehold ground floor maisonette with sole use of Westerly garden, high ceilings and some beautiful period features. The home benefits your own private front door and once inside, the ceiling height can’...",Reduced on 01/12/2020,"Reduced on 01/12/2020 by Conran Estates, Brockley",020 8012 6642,"£475,000"
1,"Oceanic House, Cockspur Street, London",3 bedroom flat for sale,9.80 miles from station,"Impeccably finished with all modern conveniences in a classical style, this elegant and spacious 3 bedroom apartment with 3 reception rooms and large master suite has been newly built and interior designed within this historic building.",Added on 10/11/2018,"Added on 10/11/2018 by Strutt & Parker, London - New Homes",020 8012 9067,"£10,500,000"
2,"Eccleston Square, Pimlico SW1V",12 bedroom house for sale,9.42 miles from station,"This Thomas Cubbitt Grade II listed freehold offers a rare opportunity to divide the building into four smaller apartments, ideal for an investor. The imposing stucco-fronted house is arranged over six floors offering expansive living accommodation.",Added on 05/10/2020,"Added on 05/10/2020 by Rokstone, London",020 7580 2030,"£10,450,000"
3,"55 Victoria Street, Westminster, SW1H",3 bedroom apartment for sale,9.39 miles from station,"Designed by the acclaimed architects Stiff Trevillion, this exciting new residential development brings New York loft living to an outstanding central London location. This three-bedroom duplex penthouse is situated on the tenth and eleventh floor, and measures approximately 2,587sq f...",Added on 22/12/2017,"Added on 22/12/2017 by RE/MAX Central, Westminster",020 8012 3002,"£10,000,000"
4,"Chelsea Manor Street, Cheyne Terrace, London, SW3",2 bedroom apartment for sale,9.90 miles from station,A wonderfully stylish and tranquil apartment within this highly sought-after development in the heart of old Chelsea.,Added on 29/04/2019,"Added on 29/04/2019 by Savills, Sloane Street",020 8012 3126,"£9,950,000"
5,"St George Wharf, London, SW8",3 bedroom flat for sale,8.59 miles from station,"An exceptional three bedroom apartment located on the 41st floor of this prestigious tower at St Georges Wharf, offering spectacular views of central London and the River Thames. This contemporary apartment has been interior designed to the highest standard, benefitting from three double bedr...",Added on 07/08/2018,"Added on 07/08/2018 by Beauchamp Estates Ltd, Mayfair - Resale",020 8012 1499,"£9,950,000"
6,"Whistler Square, Chelsea Barracks, Belgravia, London, SW1W",3 bedroom flat for sale,9.39 miles from station,"3 bedroom apartment for sale in Chelsea Barracks, SW1W A brand new 3 double bedroom third floor lateral apartment located in this world class development. EPC B. The large living and entertaining area, as well as all 3 bedrooms, enjoy westerly views over the gardens of The Royal Hospital. The ...",Added on 26/01/2020,"Added on 26/01/2020 by Knight Frank, Belgravia, covering Westminster",020 8012 4123,"£9,950,000"
7,"888 Scott House, Battersea Power Station, SW11",5 bedroom apartment for sale,9.09 miles from station,Breathtakingly Unique Apartment in Scott House within the Battersea Power Station spanning nearly 3300 square foot and finished to the most incredible specification.,Added on 11/02/2020,"Added on 11/02/2020 by Prestigious Property Ltd, Ruislip",01895 601119,"£9,950,000"
8,"Whitehall Place, London, SW1A",3 bedroom flat for sale,9.59 miles from station,The Corinthia is the prestigious setting for a unique collection of luxury apartments situated within the Corinthia Residences.,Added on 03/08/2020,"Added on 03/08/2020 by Wetherell, London",020 7529 5566,"£9,250,000"
9,"Battersea Power Station, Nine Elms, London SW8",3 bedroom penthouse for sale,9.00 miles from station,"Opportunity to acquire, one of the very few duplex villa / townhouse style apartment set on top of the boiler square of the Battersea Power Station which is currently being restored. This 3 bedroom, 4 bathroom home offers generous amount of outdoor space.",Added on 14/02/2020,"Added on 14/02/2020 by Copperstones Ltd, London",020 7258 6150,"£9,060,000"
10,"Whitehall Place,, London, SW1A",3 bedroom apartment for sale,9.59 miles from station,"A beautifully interior designed lateral apartment of 2,917 Square foot situated within the Corinthia Residences, offering unique access to the hotel and all its services.",Added on 29/10/2019,"Added on 29/10/2019 by Wetherell, London",020 7529 5566,"£9,000,000"
11,"Corinthia Residences, 10 Whitehall Place, Whitehall, London, SW1A",3 bedroom apartment for sale,9.57 miles from station,This apartment is situated on the upper floors of The Corinthia Residences and will benefit from a lifestyle designed for the world’s most discerning residents.,Reduced on 17/01/2018,"Reduced on 17/01/2018 by Savills New Homes, Margaret Street",020 8012 0342,"£8,950,000"
12,"Anchor Brewhouse, Shad Thames, London, SE1",3 bedroom apartment for sale,8.22 miles from station,"Exceptional riverside apartment in one of London’s most iconic warehouse conversions. Accessed by a private bridge this spectacular apartment combines a sophisticated, luxurious interior combined with the character of this historic building, offering a unique opportunity to purch...",Added on 21/08/2020,"Added on 21/08/2020 by Sotheby's International Realty, London",020 8012 2565,"£8,950,000"
13,"The Riverside Apartment, Anchor Brewhouse, 50 Shad Thames, London, SE1",3 bedroom apartment for sale,8.23 miles from station,Exceptional riverside apartment in one of London’s most iconic warehouse conversions.,Reduced on 14/07/2020,"Reduced on 14/07/2020 by Savills, Waterfront",020 8012 5751,"£8,950,000"
14,"Eaton Place, London, SW1X",3 bedroom duplex for sale,9.94 miles from station,"20 - 22 Eaton Place represents the redevelopment of two 19th Century, Grade II listed properties located in the heart of Belgravia. Originally created by the legendary architect Thomas Cubitt c.1850, internationally renowned development co-ordinator Wainbridge has completely remastered these icon...",Added on 27/11/2020,"Added on 27/11/2020 by Beauchamp Estates, London",020 8012 7798,"£8,750,000"
15,"Whitehall Place,, London, SW1A",2 bedroom apartment for sale,9.59 miles from station,"A beautifully interior designed lateral apartment of 3,175 square foot situated within the Corinthia Residences, offering unique access to the hotel and all its services.",Added on 29/10/2019,"Added on 29/10/2019 by Wetherell, London",020 7529 5566,"£8,500,000"
16,"Upper Belgrave Street, London, SW1X",3 bedroom penthouse for sale,9.94 miles from station,"A well presented three bedroom lateral penthouse apartment benefiting from direct lift access, with a very open aspect providing stunning views of Belgravia.",Added on 21/02/2020,"Added on 21/02/2020 by Savills, Sloane Street",020 8012 3126,"£8,500,000"
17,"Upper Belgrave Street, Belgravia, London, SW1X",3 bedroom flat for sale,9.95 miles from station,"An outstanding 3 bedroom penthouse apartment for sale in Belgravia SW1. Arranged laterally across 2 white stucco-fronted buildings, this beautiful penthouse apartment has a huge amount of natural light. It is held on a long lease with approximately 116 years remaining. Accommodation covers 282 s...",Added on 17/02/2020,"Added on 17/02/2020 by Knight Frank, Belgravia, covering Westminster",020 8012 4123,"£8,500,000"
18,"The Montevetro Building, Battersea Church Road, SW11",6 bedroom apartment for sale,9.88 miles from station,"This spacious 5/6 bedroom apartment has been created by combining two apartments on the 12th floor of Montevetro and is being sold together with a smaller studio/one bed apartment also located within Montevetro ideal for family, staff or guest accommodation.",Added on 25/11/2020,"Added on 25/11/2020 by Jo Webster Properties Ltd, London",020 8012 5377,"£8,500,000"
19,"Water Lane, City Of London, EC3R",3 bedroom apartment for sale,8.60 miles from station,For more details please enquiry with QUOTE REF# LBMAN The video tour available! Luxurious Triple aspect three-bedroom penthouse apartment offering approximately 3232.63 sq ft of living space with river view balcony of 445 sqft in the Landmark Place Development. The p...,Added yesterday,"Added yesterday by KW London Bridge Ltd T/A Keller Williams, London Bridge",020 8012 5154,POA
20,"St. James's Street, St. James's, London, SW1A",4 bedroom flat for sale,9.98 miles from station,"A Large penthouse comprising two reception rooms, modern eat-in kitchen, private lift and a fantastic south facing terrace looking on to St. James's Palace.",Added on 18/07/2019,"Added on 18/07/2019 by Chestertons Estate Agents , Mayfair",020 8012 3808,"£8,250,000"
21,"Benbow House, 24 New Globe Walk, Southwark, London, SE1",5 bedroom penthouse for sale,8.94 miles from station,Exceptional riverside penthouse with incredible City views,Added on 21/05/2020,"Added on 21/05/2020 by Savills, Waterfront",020 8012 5751,"£8,250,000"
22,"188 Kirtling St, London. SW8 5NB",3 bedroom penthouse for sale,8.99 miles from station,Battersea Power Station Duplex Penthouse,Added on 10/12/2019,"Added on 10/12/2019 by Nest Seekers International , London",01928 583132,"£8,200,000"
23,"Battersea Power Station, Nine Elms, London SW8",3 bedroom penthouse for sale,9.00 miles from station,"Opportunity to acquire, one of the very few duplex villa / townhouse style apartment set on top of the boiler square of the Battersea Power Station which is currently being restored. This 3 bedroom, 4 bathroom home offers generous amount of outdoor space.",Added on 14/02/2020,"Added on 14/02/2020 by Copperstones Ltd, London",020 7258 6150,"£8,150,000"
24,"The Boiler House, Battersea Power Station, Battersea, SW8",3 bedroom penthouse for sale,8.82 miles from station,"*Exclusive Penthouse* One of only four Chimney Penthouses in the scheme. Premier specification three bedroom four bathroom apartment spread over (2,381 Sq. Ft internal) plus (992 Sq .Ft roof terrace) and a further unique (302 Sq. Ft) Wrap around Chimney Terrace, offering panoramic Chelsea Bridge,...",Reduced on 03/09/2018,"Reduced on 03/09/2018 by Ernest-Brooks International, London",020 3858 2826,"£8,150,000"
0,"3 Limeharbour, London, E14",2 bedroom apartment for sale,6.88 miles from station,"BOOK ONLINE TODAY 24/7 at PURPLEBRICKS.CO.UK ** Guide Price £675,000 - £700,000 ** Offered to the market is this immaculately presented and spacious two double bedroom apartment set on the 7th floor of this modern development. The property comprises an open plan lounge/kitchen complete with...",Added on 01/07/2020,"Added on 01/07/2020 by Purplebricks, covering London",0121 396 0233,"£675,000"
1,"Davies Street, London, W1K",6 bedroom maisonette for sale,10.48 miles from station,BRAND NEW INSTRUCTION - SOLE AGENT - THE 21 ST - ONE OF MAYFAIR'S FINEST OPPORTUNITIES - Duplex penthouse with extensive roof terraces and garaging for three cars.,Added on 13/11/2020,"Added on 13/11/2020 by Wetherell, London",020 7529 5566,"£18,000,000"
2,"Marylebone Square, Marylebone",3 bedroom penthouse for sale,10.94 miles from station,Three bedroom penthouse now available for sale.,Added on 04/09/2020,"Added on 04/09/2020 by The Cloister, London",020 8012 4261,"£17,250,000"
3,"Marylebone Square, Moxon Street, Marylebone, W1",3 bedroom penthouse for sale,11.08 miles from station,"Marylebone Square Is A Brand New Luxury Development Of 54 High-End Homes, Including 12 Penthouses. One Of The Largest Penthouses In The Building, Spanning 3,671 Sq Ft (341Sq Meters) with 1,386 Sq Ft (127 Sq Meters) Stunning Wrap-Around Terrace.",Added on 12/02/2020,"Added on 12/02/2020 by Knightsbridge, Estate Agents",020 8012 5258,"£17,250,000"
4,"Marylebone Square, Moxon St, Marylebone, W1U",3 bedroom apartment for sale,11.08 miles from station,"Marylebone Square is one of London's most sought after locations, a boutique offering of only 54 private lateral apartments self-contained within a beautifully designed building. A rare opportunity to be part of the provenance of aristocratic estates in Central London. A contemporary take on a cl...",Added on 09/09/2019,"Added on 09/09/2019 by Ernest-Brooks International, London",020 3858 2826,POA
5,"One Kensington Gardens, Kensington Road, London W8",3 bedroom flat for sale,11.24 miles from station,An exceptional three bedroom lateral apartment with views over Kensington Gardens within a development of 97 residences designed by award-winning architect David Chipperfield. Ready for occupation.,Reduced on 16/10/2020,"Reduced on 16/10/2020 by Strutt & Parker, London - New Homes",020 8012 9067,"£16,750,000"
6,"Marylebone Square, Moxon St, W1U",3 bedroom penthouse for sale,11.04 miles from station,"Marylebone Square is one of London's most sought after locations, 54 private lateral apartments self contained within a beautifully designed building.",Added on 06/04/2020,"Added on 06/04/2020 by Savills New Homes, Margaret Street",020 8012 0342,POA
7,"Oceanic House, Cockspur Street, London",4 bedroom penthouse for sale,9.80 miles from station,A magnificent four bedroom Penthouse apartment in the heart of St James's.,Added on 25/06/2020,"Added on 25/06/2020 by Strutt & Parker, London - New Homes",020 8012 9067,"£16,250,000"
8,"Cockspur Street, London, SW1Y",4 bedroom flat for sale,9.80 miles from station,"An exquisite duplex penthouse located within the iconic Oceanic House, built as the offices for the famous White Star Line shipping company. This unique penthouse offers open plan living space flowing seamlessly throughout, creating the perfect space to entertain family and friends. The penthouse...",Added on 19/02/2018,"Added on 19/02/2018 by Beauchamp Estates Ltd, Mayfair - Resale",020 8012 1499,"£16,250,000"
9,"Lancer Square, Kensington Church Street, London, W8",4 bedroom penthouse for sale,11.46 miles from station,"Triple aspect, West facing 4 bed apartment with very large living space and principal suite",Added on 29/07/2020,"Added on 29/07/2020 by Savills New Homes, Margaret Street",020 8012 0342,"£16,020,000"
10,"The Boiler House, Battersea Power Station, Battersea, SW8",3 bedroom penthouse for sale,8.82 miles from station,Exclusive apartment available via our discreet marketing service. Contact us for further information. Battersea power station will set a new standard of luxury living in London. The apartment comprises an open plan reception including an open plan high specification kitchen with integrated applia...,,"by Ernest-Brooks International, London",020 3858 2826,POA
11,"Albemarle Street, Mayfair, London, W1S",3 bedroom apartment for sale,10.27 miles from station,A spectacular lateral third floor apartment with grand entertaining spaces and high ceilings of approximately 3.4m.,Added on 02/10/2019,"Added on 02/10/2019 by Savills, Mayfair",020 8012 4256,"£16,000,000"
12,"Connaught Place, Hyde Park, London, W2",5 bedroom flat for sale,11.03 miles from station,"Incredible 5 bedroom penthouse apartment with roof terrace for sale in Hyde Park W2 A spectacular interior designed penthouse apartment for sale in Hyde Park W2, located on the fourth and fifth floors of a prestigious Grade II listed building with exceptional, uninterrupted views across Hyde Par...",Added on 26/09/2020,"Added on 26/09/2020 by Knight Frank, Hyde Park",020 8012 4409,"£15,950,000"
13,"Kensington Court, Kensington, London, W8",11 bedroom apartment for sale,11.34 miles from station,"UK Sotheby’s International Realty is pleased to present this highly attractive red brick period building comprising of four outstanding apartments in the heart of Kensington. The building is configured as a ground and lower ground floor maisonette, an apartment on both the first and second ...",Added on 30/07/2020,"Added on 30/07/2020 by Sotheby's International Realty, London",020 8012 2565,"£15,500,000"
14,"The Regent's Crescent, 22 Park Crescent, London, W1B",5 bedroom penthouse for sale,11.07 miles from station,"PENTHOUSE - This end of terrace duplex penthouse unit enjoys panoramic views ad views North, West, South and East over Crescent Gardens",Added on 04/05/2020,"Added on 04/05/2020 by Savills New Homes, Margaret Street",020 8012 0342,"£15,450,000"
15,"York Terrace West, Regent's Park, London, NW1",8 bedroom flat for sale,11.31 miles from station,"A rare opportunity to acquire three adjoining/adjacent apartments in arguably Regent's Park most sought after apartment building.
The properties consist of two adjacent outstanding first floor apartments (2 bedroom & 3 bedroom) with floor to ceiling windows and immediately above a large 2nd floor...",Added on 13/11/2020,"Added on 13/11/2020 by Arlington Residential, London",020 3858 3511,"£15,000,000"
16,"Kensington Court, London, W8",4 bedroom house for sale,11.34 miles from station,"An outstanding FREEHOLD property compromised of FOUR RESIDENTIAL APARTMENTS, moments from High Street Kensington. The building consists of: 2 x Two Bedroom Apartments 1 x Three bedroom Apartment 1 x Four Bedroom Penthouse All currently let producing a generous annual in...",Added on 10/12/2019,"Added on 10/12/2019 by Chatterton Rees , London",020 3858 2721,POA
17,"York Terrace West, Regent's Park, London, NW1",8 bedroom apartment for sale,11.31 miles from station,A rare opportunity to acquire three adjoining/adjacent apartments in arguably Regent’s Park most sought after apartment building.,Added on 16/11/2020,"Added on 16/11/2020 by Savills, St John's Wood & Regent's Park",020 8012 1426,"£15,000,000"
18,"Hyde Park Gardens, London, W2",4 bedroom flat for sale,11.23 miles from station,"Four bedroom apartment for sale in Hyde Park, W2 Arranged over 3 floors, this spectacular apartment is located on a highly sought after building opposite Hyde Park. Enter on the third floor (with lift) into the long hallway which leads directly to the contemporary fitted kitchen. With a wide ran...",Added on 10/06/2020,"Added on 10/06/2020 by Knight Frank, Hyde Park",020 8012 4409,"£15,000,000"
19,"1 St. George Wharf, London, SW8",4 bedroom apartment for sale,8.60 miles from station,A unique opportunity to acquire an apartment with 360 degrees views of London including prime river views. The apartment is arranged over the entire 35th floor which can only be accessed by the owner.,Added on 05/12/2019,"Added on 05/12/2019 by RE/MAX Central, Westminster",020 8012 3002,"£15,000,000"
20,"Queenstown Road, Chelsea Bridge Wharf, Battersea Park, London, SW11",7 bedroom flat for sale,9.12 miles from station,"7 bed flat for sale in Chelsea Bridge Wharf, SW11 A must see, interior designed & highly distinctive penthouse apartment with seven bedrooms situated on the eleventh floor of the prestigious Lanson Building at Chelsea Bridge Wharf located a short walk from Sloane Square.
EPC: D A truly unique p...",Added on 03/04/2019,"Added on 03/04/2019 by Knight Frank, Battersea and Riverside",020 8012 1558,"£15,000,000"
21,"Montrose Place, Belgravia SW1X",3 bedroom apartment for sale,10.07 miles from station,"To the east of Belgrave Square, 10 Montrose Place is situated in one of London`s most desirable locations. This discreet, contemporary development comprises 18 large lateral apartments within two blocks centred around a colonnade and reception area that look out over a private, landscaped courtyard.",Added on 11/05/2019,"Added on 11/05/2019 by Rokstone, London",020 7580 2030,"£14,950,000"
22,"Bolebec House, 10 Lowndes Street, London, SW1X",3 bedroom flat for sale,10.15 miles from station,"3 bedroom penthouse with triple aspect roof terrace for sale in SW1X This unique, contemporary home has three-bedroom suites, open plan living/dining and kitchen space, study and separate media room/gym leading directly to the roof terrace. EPC F. Flooded with natural light and floor to ceilin...",Added on 30/09/2017,"Added on 30/09/2017 by Knight Frank, Belgravia, covering Westminster",020 8012 4123,"£14,900,000"
23,"Orchard Court, Portman Square, Marylebone, London, W1H",4 bedroom apartment for sale,10.92 miles from station,A stunning lateral apartment situated in one of Marylebone's most prestigious blocks.,Added on 11/02/2020,"Added on 11/02/2020 by Savills, Marylebone",020 8012 9125,"£14,500,000"
24,"Orchard Court, Portman Square, Marylebone",5 bedroom flat for sale,10.99 miles from station,"An opportunity to acquire a luxurious interior designed and fully renovated five bedroom, five bathroom lateral apartment of around 3,880 sqft / 360sqm set on the second floor of one of Marylebone's most exclusive blocks. Orchard Court provides excellent security provide by a team of 24 hour uni...",Added on 11/02/2020,"Added on 11/02/2020 by Napier Watt Limited, London",020 3858 3061,"£14,500,000"
0,"Worsopp Drive, Clapham Common South Side, London, SW4",2 bedroom maisonette for sale,7.89 miles from station,"A lovely 2 bedroom duplex flat benefiting from a spacious eat-in kitchen, well proportioned rooms throughout, neutral décor and a Balcony.",Reduced on 01/12/2020,"Reduced on 01/12/2020 by Foxtons, Balham",020 8012 6713,"£350,000"
1,"Davies Street, London, W1K",6 bedroom maisonette for sale,10.48 miles from station,BRAND NEW INSTRUCTION - SOLE AGENT - THE 21 ST - ONE OF MAYFAIR'S FINEST OPPORTUNITIES - Duplex penthouse with extensive roof terraces and garaging for three cars.,Added on 13/11/2020,"Added on 13/11/2020 by Wetherell, London",020 7529 5566,"£18,000,000"
2,"Marylebone Square, Marylebone",3 bedroom penthouse for sale,10.94 miles from station,Three bedroom penthouse now available for sale.,Added on 04/09/2020,"Added on 04/09/2020 by The Cloister, London",020 8012 4261,"£17,250,000"
3,"Marylebone Square, Moxon Street, Marylebone, W1",3 bedroom penthouse for sale,11.08 miles from station,"Marylebone Square Is A Brand New Luxury Development Of 54 High-End Homes, Including 12 Penthouses. One Of The Largest Penthouses In The Building, Spanning 3,671 Sq Ft (341Sq Meters) with 1,386 Sq Ft (127 Sq Meters) Stunning Wrap-Around Terrace.",Added on 12/02/2020,"Added on 12/02/2020 by Knightsbridge, Estate Agents",020 8012 5258,"£17,250,000"
4,"Marylebone Square, Moxon St, Marylebone, W1U",3 bedroom apartment for sale,11.08 miles from station,"Marylebone Square is one of London's most sought after locations, a boutique offering of only 54 private lateral apartments self-contained within a beautifully designed building. A rare opportunity to be part of the provenance of aristocratic estates in Central London. A contemporary take on a cl...",Added on 09/09/2019,"Added on 09/09/2019 by Ernest-Brooks International, London",020 3858 2826,POA
5,"One Kensington Gardens, Kensington Road, London W8",3 bedroom flat for sale,11.24 miles from station,An exceptional three bedroom lateral apartment with views over Kensington Gardens within a development of 97 residences designed by award-winning architect David Chipperfield. Ready for occupation.,Reduced on 16/10/2020,"Reduced on 16/10/2020 by Strutt & Parker, London - New Homes",020 8012 9067,"£16,750,000"
6,"Marylebone Square, Moxon St, W1U",3 bedroom penthouse for sale,11.04 miles from station,"Marylebone Square is one of London's most sought after locations, 54 private lateral apartments self contained within a beautifully designed building.",Added on 06/04/2020,"Added on 06/04/2020 by Savills New Homes, Margaret Street",020 8012 0342,POA
7,"Oceanic House, Cockspur Street, London",4 bedroom penthouse for sale,9.80 miles from station,A magnificent four bedroom Penthouse apartment in the heart of St James's.,Added on 25/06/2020,"Added on 25/06/2020 by Strutt & Parker, London - New Homes",020 8012 9067,"£16,250,000"
8,"Cockspur Street, London, SW1Y",4 bedroom flat for sale,9.80 miles from station,"An exquisite duplex penthouse located within the iconic Oceanic House, built as the offices for the famous White Star Line shipping company. This unique penthouse offers open plan living space flowing seamlessly throughout, creating the perfect space to entertain family and friends. The penthouse...",Added on 19/02/2018,"Added on 19/02/2018 by Beauchamp Estates Ltd, Mayfair - Resale",020 8012 1499,"£16,250,000"
9,"Lancer Square, Kensington Church Street, London, W8",4 bedroom penthouse for sale,11.46 miles from station,"Triple aspect, West facing 4 bed apartment with very large living space and principal suite",Added on 29/07/2020,"Added on 29/07/2020 by Savills New Homes, Margaret Street",020 8012 0342,"£16,020,000"
10,"The Boiler House, Battersea Power Station, Battersea, SW8",3 bedroom penthouse for sale,8.82 miles from station,Exclusive apartment available via our discreet marketing service. Contact us for further information. Battersea power station will set a new standard of luxury living in London. The apartment comprises an open plan reception including an open plan high specification kitchen with integrated applia...,,"by Ernest-Brooks International, London",020 3858 2826,POA
11,"Albemarle Street, Mayfair, London, W1S",3 bedroom apartment for sale,10.27 miles from station,A spectacular lateral third floor apartment with grand entertaining spaces and high ceilings of approximately 3.4m.,Added on 02/10/2019,"Added on 02/10/2019 by Savills, Mayfair",020 8012 4256,"£16,000,000"
12,"Connaught Place, Hyde Park, London, W2",5 bedroom flat for sale,11.03 miles from station,"Incredible 5 bedroom penthouse apartment with roof terrace for sale in Hyde Park W2 A spectacular interior designed penthouse apartment for sale in Hyde Park W2, located on the fourth and fifth floors of a prestigious Grade II listed building with exceptional, uninterrupted views across Hyde Par...",Added on 26/09/2020,"Added on 26/09/2020 by Knight Frank, Hyde Park",020 8012 4409,"£15,950,000"
13,"Kensington Court, Kensington, London, W8",11 bedroom apartment for sale,11.34 miles from station,"UK Sotheby’s International Realty is pleased to present this highly attractive red brick period building comprising of four outstanding apartments in the heart of Kensington. The building is configured as a ground and lower ground floor maisonette, an apartment on both the first and second ...",Added on 30/07/2020,"Added on 30/07/2020 by Sotheby's International Realty, London",020 8012 2565,"£15,500,000"
14,"The Regent's Crescent, 22 Park Crescent, London, W1B",5 bedroom penthouse for sale,11.07 miles from station,"PENTHOUSE - This end of terrace duplex penthouse unit enjoys panoramic views ad views North, West, South and East over Crescent Gardens",Added on 04/05/2020,"Added on 04/05/2020 by Savills New Homes, Margaret Street",020 8012 0342,"£15,450,000"
15,"York Terrace West, Regent's Park, London, NW1",8 bedroom flat for sale,11.31 miles from station,"A rare opportunity to acquire three adjoining/adjacent apartments in arguably Regent's Park most sought after apartment building.
The properties consist of two adjacent outstanding first floor apartments (2 bedroom & 3 bedroom) with floor to ceiling windows and immediately above a large 2nd floor...",Added on 13/11/2020,"Added on 13/11/2020 by Arlington Residential, London",020 3858 3511,"£15,000,000"
16,"Kensington Court, London, W8",4 bedroom house for sale,11.34 miles from station,"An outstanding FREEHOLD property compromised of FOUR RESIDENTIAL APARTMENTS, moments from High Street Kensington. The building consists of: 2 x Two Bedroom Apartments 1 x Three bedroom Apartment 1 x Four Bedroom Penthouse All currently let producing a generous annual in...",Added on 10/12/2019,"Added on 10/12/2019 by Chatterton Rees , London",020 3858 2721,POA
17,"York Terrace West, Regent's Park, London, NW1",8 bedroom apartment for sale,11.31 miles from station,A rare opportunity to acquire three adjoining/adjacent apartments in arguably Regent’s Park most sought after apartment building.,Added on 16/11/2020,"Added on 16/11/2020 by Savills, St John's Wood & Regent's Park",020 8012 1426,"£15,000,000"
18,"Hyde Park Gardens, London, W2",4 bedroom flat for sale,11.23 miles from station,"Four bedroom apartment for sale in Hyde Park, W2 Arranged over 3 floors, this spectacular apartment is located on a highly sought after building opposite Hyde Park. Enter on the third floor (with lift) into the long hallway which leads directly to the contemporary fitted kitchen. With a wide ran...",Added on 10/06/2020,"Added on 10/06/2020 by Knight Frank, Hyde Park",020 8012 4409,"£15,000,000"
19,"1 St. George Wharf, London, SW8",4 bedroom apartment for sale,8.60 miles from station,A unique opportunity to acquire an apartment with 360 degrees views of London including prime river views. The apartment is arranged over the entire 35th floor which can only be accessed by the owner.,Added on 05/12/2019,"Added on 05/12/2019 by RE/MAX Central, Westminster",020 8012 3002,"£15,000,000"
20,"Queenstown Road, Chelsea Bridge Wharf, Battersea Park, London, SW11",7 bedroom flat for sale,9.12 miles from station,"7 bed flat for sale in Chelsea Bridge Wharf, SW11 A must see, interior designed & highly distinctive penthouse apartment with seven bedrooms situated on the eleventh floor of the prestigious Lanson Building at Chelsea Bridge Wharf located a short walk from Sloane Square.
EPC: D A truly unique p...",Added on 03/04/2019,"Added on 03/04/2019 by Knight Frank, Battersea and Riverside",020 8012 1558,"£15,000,000"
21,"Montrose Place, Belgravia SW1X",3 bedroom apartment for sale,10.07 miles from station,"To the east of Belgrave Square, 10 Montrose Place is situated in one of London`s most desirable locations. This discreet, contemporary development comprises 18 large lateral apartments within two blocks centred around a colonnade and reception area that look out over a private, landscaped courtyard.",Added on 11/05/2019,"Added on 11/05/2019 by Rokstone, London",020 7580 2030,"£14,950,000"
22,"Bolebec House, 10 Lowndes Street, London, SW1X",3 bedroom flat for sale,10.15 miles from station,"3 bedroom penthouse with triple aspect roof terrace for sale in SW1X This unique, contemporary home has three-bedroom suites, open plan living/dining and kitchen space, study and separate media room/gym leading directly to the roof terrace. EPC F. Flooded with natural light and floor to ceilin...",Added on 30/09/2017,"Added on 30/09/2017 by Knight Frank, Belgravia, covering Westminster",020 8012 4123,"£14,900,000"
23,"Orchard Court, Portman Square, Marylebone, London, W1H",4 bedroom apartment for sale,10.92 miles from station,A stunning lateral apartment situated in one of Marylebone's most prestigious blocks.,Added on 11/02/2020,"Added on 11/02/2020 by Savills, Marylebone",020 8012 9125,"£14,500,000"
24,"Orchard Court, Portman Square, Marylebone",5 bedroom flat for sale,10.99 miles from station,"An opportunity to acquire a luxurious interior designed and fully renovated five bedroom, five bathroom lateral apartment of around 3,880 sqft / 360sqm set on the second floor of one of Marylebone's most exclusive blocks. Orchard Court provides excellent security provide by a team of 24 hour uni...",Added on 11/02/2020,"Added on 11/02/2020 by Napier Watt Limited, London",020 3858 3061,"£14,500,000"
0,"Lennox Gardens, Knightsbridge, SW1X",1 bedroom apartment for sale,10.21 miles from station,"One bedroom | Study/Guest Room | 1294 SqFt | Huge 25"" Reception | High Ceilings | Spacious Balcony | En-suite Bathroom | Powder Room | Excellent Storage | New Kitchen With Miele Appliances | New Boiler | Feature Fireplace This beautiful apartment is flooded with natural light and...",Reduced on 29/11/2020,"Reduced on 29/11/2020 by MyLondonHome, Central London",020 8012 5678,"£2,750,000"
1,"Davies Street, London, W1K",6 bedroom maisonette for sale,10.48 miles from station,BRAND NEW INSTRUCTION - SOLE AGENT - THE 21 ST - ONE OF MAYFAIR'S FINEST OPPORTUNITIES - Duplex penthouse with extensive roof terraces and garaging for three cars.,Added on 13/11/2020,"Added on 13/11/2020 by Wetherell, London",020 7529 5566,"£18,000,000"
